Question,Answer
本期帳單何時會收到？,通常於計費週期結束後3-5個工作天內發送電子或紙本帳單。
如何查詢未出帳金額？,您可以登入官方App或會員網站的「帳單查詢」功能查看即時未出帳費用。
帳單逾期未繳會被停話嗎？,逾期未繳可能會產生滯納金，若超過一定期限仍未繳款，將會暫停您的部分服務。
可以用信用卡自動扣繳嗎？,可以，請攜帶信用卡及身分證件至門市辦理，或於App線上設定自動扣繳。
如何申請電子帳單？,登入官網會員專區或App，至「帳單管理」設定電子帳單寄送Email即可，還可享減免優惠。
我的帳單金額為何突然變高？,可能含有漫遊費、加值服務訂閱或通話量超出合約額度，建議查詢通話明細確認。
繳費後多久會入帳？,超商代收約需2-3個工作天，線上刷卡或ATM轉帳通常為即時入帳。
如何補印繳費單？,可至全台四大超商的多媒體機台輸入手機號碼補單，或使用App產生的繳費條碼。
預付卡如何儲值？,可透過官網、App線上刷卡儲值，或是至超商購買儲值卡進行儲值。
通話明細需要費用嗎？,申請詳細通話明細可能需支付工本費，電子版明細通常免費提供查詢。
這期帳單可以分期付款嗎？,一般電信帳單不提供分期服務，若有困難請洽詢客服專員討論個案處理。
如果是溢繳款項怎麼處理？,溢繳金額將自動抵扣下一期帳單費用，亦可申請退費至指定帳戶。
如何變更帳單寄送地址？,請登入會員中心修改聯絡資訊，次月帳單即會寄送至新地址。
帳單遺失了怎麼辦？,可利用App查詢帳單金額並使用條碼繳費，無需紙本帳單。
小額付費是什麼？,這是利用手機號碼進行線上遊戲或數位內容購買的服務，費用會併入下月電信帳單。
如何關閉小額付費功能？,請洽詢客服專線或至門市填寫申請書辦理關閉，以避免誤觸消費。
漫遊費用是如何計算的？,依據您所在的國家及使用的漫遊方案而定，詳細費率請參考官網漫遊專區。
沒有收到繳費簡訊通知怎麼辦？,請確認手機是否設定阻擋企業簡訊，或登入App確認聯絡手機號碼是否正確。
自動扣繳失敗怎麼辦？,系統會發送簡訊通知，請盡快透過其他方式（如超商或線上刷卡）完成繳費以免停話。
為何有違約金產生？,若您在合約期滿前解約或調降資費低於合約限制，將依合約條款產生違約金。
手機一直沒有訊號怎麼辦？,請先嘗試重新開機或開啟飛航模式再關閉。若仍無效，請聯繫客服確認附近基地台狀況。
家裡網路收訊很差可以改善嗎？,可向我們申請「訊號改善」服務，工程師會評估是否安裝強波器或提供其他方案。
為什麼網路速度變慢了？,可能因所在位置訊號擁塞、或是您的數據用量已達公平使用原則的降速門檻。
5G跟4G差在哪裡？,5G提供更高的網速、更低的延遲及更大的連結容量，適合高畫質串流與即時遊戲。
手機顯示漫遊中是怎麼回事？,若您在國內顯示漫遊，可能是為了提供更佳涵蓋率而使用了合作夥伴的基地台，不會額外收費。
如何測試目前的網速？,可下載 Speedtest 等測速軟體，或使用我們App內的測速功能進行檢測。
颱風天網路會斷訊嗎？,極端天氣可能損壞基地台或電力設施導致斷訊，我們將盡速搶修恢復服務。
搭捷運時網路不穩？,捷運隧道內訊號可能因移動速度快或遮蔽而受影響，我們已持續優化捷運沿線覆蓋。
可以申請室內電話嗎？,我們主要提供行動通訊服務，若有室內電話需求可洽詢固網合作夥伴。
地下室收不到訊號？,地下室因建築結構阻擋訊號較弱，建議盡量靠近出口或窗戶使用。
為什麼通話會斷斷續續？,可能是訊號微弱區或基地台交接時的短暫影響，請嘗試移動至空曠處通話。
SIM卡讀不到怎麼辦？,請嘗試取出SIM卡重新插入，或用橡皮擦清潔金屬接點。若無效請至門市更換新卡。
如何開啟VoLTE功能？,請確認手機支援並至手機設定開啟VoLTE，同時需洽客服開通此免費服務。
VoWiFi是什麼？,VoWiFi讓您在有WiFi的環境下也能撥接電話，適合訊號較弱的室內空間使用。
更換手機需要換SIM卡嗎？,若新舊手機的SIM卡尺寸（Nano/Micro）相同則無需更換，不同則需至門市換卡。
SIM卡遺失了怎麼辦？,請立即致電客服掛失停話，並至門市申請補發SIM卡（需身分證件）。
eSIM是什麼？,eSIM是嵌入式SIM卡，無需實體卡片即可啟用門號，適用於支援eSIM的手機型號。
如何申請eSIM？,請攜帶雙證件至門市辦理，或透過特定線上管道申請（需驗證身分）。
熱點分享有限制嗎？,視您的資費方案而定，部分吃到飽方案對熱點分享量有限速或限量規定。
網路突然斷線怎麼辦？,請檢查手機設定是否誤觸關閉行動數據，或嘗試重置網路設定。
目前有什麼續約優惠？,續約優惠視個人合約狀況而定，建議登入App或洽門市查詢專屬方案。
合約還沒到期可以續約嗎？,通常合約到期前3-6個月可提前續約，詳情請洽詢客服或門市人員。
想把門號過戶給家人？,請雙方攜帶雙證件至門市辦理過戶手續，需結清當期費用。
如何查詢合約到期日？,請登入官網會員中心或App，在「我的合約」區塊即可查看詳細合約期限。
攜碼（NP）移入需要什麼資格？,原合約需無綁約狀態（或願支付違約金），並攜帶雙證件至門市或線上辦理。
預付卡可以轉成月租型嗎？,可以，請攜帶雙證件至門市辦理轉移手續，並選擇適合的月租方案。
學生方案有什麼優惠？,學生方案通常提供較低的月租費或更多的上網流量，申辦需檢附有效學生證。
老客戶有什麼專屬優惠？,老客戶續約通常享有免預繳、購機折價或資費折扣等優惠。
資費可以隨時調整嗎？,合約期間內通常只能調升資費，若要調降可能需視合約條款或支付違約金。
網路吃到飽是真的不限速嗎？,通常有「公平使用原則」，若用量異常龐大（如長時間且大量下載）可能會被暫時降速。
解約金如何計算？,解約金通常包含「終端設備補貼款」與「電信費用補貼款」，依合約剩餘日數按比例計算。
如何取消加值服務？,可透過App「我的服務」管理功能取消，或致電客服協助關閉不需要的服務。
有提供身心障礙優惠嗎？,有的，憑身心障礙手冊申辦特定方案可享月租費減免優惠。
軍公教方案如何申請？,需檢附軍人證、教師證或公務員識別證至門市或特定企客通路辦理。
企業客戶如何申請統編帳單？,申辦時請告知需打統編，或事後至門市/客服變更帳單資訊加入統一編號。
門號停用後還可以復話嗎？,若因欠費停話，繳清後通常可復話；若已退租銷號一段時間，門號可能已被回收無法取回。
可以指定手機號碼嗎？,新申辦時可於系統選號，特殊號碼（黃金門號）可能需支付選號費或搭配特定專案。
如何辦理停話（出國/暫停使用）？,可申請「自願性停話」，期間仍需繳納保管費或基本月租，詳情請洽客服。
什麼是購機約？,指搭配購買手機的合約，手機價格較低，但在合約期內解約需支付較高違約金。
什麼是門號約（單門號）？,僅申辦門號不購機，通常月租費較優惠或回饋較多，違約金相對較低。
日本漫遊上網推薦哪個方案？,我們提供日租型、計量型及多日型方案，短期旅遊推薦「輕量型漫遊包」。
如何開啟國際漫遊功能？,出國前請務必透過客服、App或門市確認已開啟門號的國際漫遊功能。
漫遊時無法上網怎麼辦？,請檢查手機設定的「數據漫遊」由關閉改為開啟，並確認APN設定是否正確。
在國外打電話回台灣怎麼計費？,漫遊發話費用較高，依當地漫遊業者費率計收，建議使用網路通話軟體節省費用。
收到高額漫遊帳單怎麼辦？,請確認是否誤用非優惠網段或未關閉自動更新。若有爭議可向客服申訴查詢。
出國收簡訊要錢嗎？,在國外接收一般簡訊通常是免費的，但發送簡訊則需支付漫遊簡訊費。
如何購買漫遊上網包？,可透過官網、App即時預約購買，或撥打免費客服專線申請。
漫遊上網有流量限制嗎？,視您購買的方案而定，有吃到飽方案也有固定流量方案（用完斷網或降速）。
到中國大陸可以用Line嗎？,若使用我們的原號漫遊服務，通常可免翻牆直接使用Line、FB等軟體。
郵輪上可以使用漫遊嗎？,郵輪漫遊屬於衛星訊號，費率極高且不適用一般漫遊方案，使用前請務必詳閱費率表。
如何鎖定漫遊網路業者？,在手機設定中關閉「自動選網」，手動選擇我們合作的優惠漫遊業者。
如何設定來電答鈴？,可透過App或官網的加值服務區選購喜歡的歌曲作為來電答鈴。
KKBOX綁約有優惠嗎？,搭配指定資費方案訂閱KKBOX通常享月租折扣或前幾個月免費優惠。
如何取消行銷簡訊？,請致電客服告知希望能拒收行銷廣告簡訊，我們將為您註記。
手機中毒了怎麼辦？,建議安裝防毒軟體掃描，或將手機恢復原廠設定（請先備份資料）。
App無法登入怎麼辦？,請確認帳號密碼是否正確，或嘗試重新安裝App。若仍無法登入請聯繫客服。
手機遺失如何定位？,請利用手機內建的「尋找我的裝置」（iOS/Android）功能進行定位與鎖定。
如何反詐騙？,勿輕信來路不明的電話或簡訊連結，本公司不會主動要求您操作ATM解除分期。
垃圾簡訊很多怎麼辦？,手機可設定攔截關鍵字，或安裝來電辨識App過濾騷擾號碼。
客服專線是24小時嗎？,是的，我們的電話客服中心提供24小時全年無休服務。
如何聯繫文字客服？,官網與App皆有提供「線上文字客服」，服務時間通常為每日09:00-24:00。
門市營業時間是幾點？,各地門市營業時間不同，通常為11:00-21:00，建議透過官網查詢鄰近門市資訊。
如何預約門市服務？,可透過官網或App「門市預約」功能，節省現場排隊等待時間。
有提供到府服務嗎？,一般手機業務需至門市辦理，但寬頻網路或特殊專案可預約工程師到府裝機。
為什麼客服電話都打不進去？,尖峰時段進線量大，建議多利用App智能客服或線上文字客服處理簡易問題。
可以代辦家人的業務嗎？,需攜帶雙方雙證件及代辦人印章，並填寫委託書方可辦理部分業務（如補卡、繳費）。
未成年可以辦門號嗎？,需由法定代理人（父母）陪同並攜帶雙方證件至門市辦理。
外籍人士如何辦門號？,請攜帶護照及居留證（效期需大於合約期）至門市辦理，可能需繳納保證金。
公司戶如何申請門號？,需準備公司設立登記表、大小章及負責人身分證件至直營門市辦理。
如果對服務不滿意如何客訴？,可撥打客服專線轉主管，或至官網「聯絡我們」填寫申訴表單，我們將專案處理。
訊號不好可以解約嗎？,若經工程師檢測確認收訊不良且無法改善，可依個案協議無條件解約或減免月租。
手機送修要多久？,一般維修約需3-7個工作天，視故障狀況與零件庫存而定。
送修手機有備用機嗎？,直營門市通常提供簡易備用機借用服務，數量有限借完為止。
手機保險有什麼保障？,依投保方案不同，可涵蓋螢幕破裂、摔壞、泡水等意外損壞的維修費用補助。
維修費用如何查詢？,送修後工程師會先報價，您確認同意後才進行維修；亦可上官網查詢常見零件參考價格。
舊手機可以回收嗎？,可以，我們響應環保提供舊機回收服務，並可依機況折抵配件或帳單金額。
如何查詢保固期？,請輸入手機IMEI碼至官網或原廠網站查詢保固狀態與期限。
買手機有七天鑑賞期嗎？,實體門市購機無七天鑑賞期（除非新品不良）；網路商店購機則享七天鑑賞期權益。
新品不良如何處理？,購買7日內若發現非人為的功能故障，請備齊完整盒裝配件至原購買門市檢測換貨。
